transcript_id,gene_id,VXZQDSSGHVXESRCU,GFVFCKEMORKYYMLY,DZSVCTWUYNSXZPKA,OXBCHWNYNTPSSTGN,YFLQYUFTSERFAPKN,GDIOTRNJDLZYKHKX,WXOFHUORVFJYNQPU,QSSRZDSPSKYUXCHP
ENSMUSG00000062997.6_39001580_39005125_4,ENSMUSG00000062997.6,275,355,710,242,330,240,419,26
ENSMUSG00000062997.6_39001580_39005125_6,ENSMUSG00000062997.6,26,23,48,13,33,18,16,1
ENSMUSG00000029111.7_33897916_33936250_1,ENSMUSG00000029111.7,31,40,51,26,45,23,35,5
ENSMUSG00000025158.7_120781443_120784193_1,ENSMUSG00000025158.7,3,9,4,6,5,2,3,0
ENSMUSG00000031158.11_7899357_7907680_2,ENSMUSG00000031158.11,135,198,381,169,265,160,279,13
ENSMUST00000040721.8,ENSMUSG00000034118.15,22,39,51,38,26,19,28,2
ENSMUSG00000036327.18_26209125_26237367_1,ENSMUSG00000036327.18,14,21,22,14,10,6,19,1
ENSMUST00000092041.10,ENSMUSG00000037013.17,47,69,119,83,72,35,55,3
ENSMUST00000045720.13,ENSMUSG00000074165.10,7,12,18,15,16,8,13,0
ENSMUSG00000036327.18_26209125_26237367_2,ENSMUSG00000036327.18,57,84,110,56,98,41,69,7
ENSMUSG00000058355.8_79684944_79711670_1,ENSMUSG00000058355.8,35,45,29,44,56,18,15,3
ENSMUST00000081631.9,ENSMUSG00000057234.9,11,16,28,13,34,16,18,0
ENSMUSG00000028484.16_83461871_83486453_4,ENSMUSG00000028484.16,25,23,46,24,23,25,20,0
ENSMUSG00000027829.15_65946151_65958181_1,ENSMUSG00000027829.15,5,14,10,10,7,6,8,0
ENSMUSG00000028484.16_83461871_83486453_1,ENSMUSG00000028484.16,77,82,141,83,91,69,94,8
ENSMUSG00000028484.16_83461871_83486453_2,ENSMUSG00000028484.16,43,40,98,51,39,57,67,5
ENSMUSG00000034617.7_68561363_68564421_1,ENSMUSG00000034617.7,9,15,13,9,5,9,11,1
ENSMUSG00000000568.15_99960998_99978922_5,ENSMUSG00000000568.15,27,45,103,45,36,34,55,6
ENSMUSG00000000568.15_99960998_99978922_4,ENSMUSG00000000568.15,35,75,120,57,63,48,80,9
ENSMUST00000108838.4,ENSMUSG00000056851.14,124,169,314,140,219,89,157,14
ENSMUSG00000000568.15_99960998_99978922_1,ENSMUSG00000000568.15,40,33,98,44,53,30,55,5
ENSMUST00000167773.1,ENSMUSG00000032393.15,3,10,7,8,19,11,4,0
ENSMUSG00000047945.6_129515623_129677755_1,ENSMUSG00000047945.6,918,986,1589,521,1313,518,927,55
ENSMUST00000163858.7,ENSMUSG00000005986.16,5,8,8,2,6,1,5,0
ENSMUSG00000018239.9_53324679_53332590_1,ENSMUSG00000018239.9,9,17,26,9,9,9,17,4
ENSMUSG00000097156.7_88227392_88229959_6,ENSMUSG00000097156.7,107,134,224,159,169,79,147,9
ENSMUSG00000097156.7_88227392_88229959_5,ENSMUSG00000097156.7,22,21,10,18,24,5,7,0
ENSMUSG00000097156.7_88227392_88229959_4,ENSMUSG00000097156.7,57,59,157,73,97,39,85,7
ENSMUSG00000097156.7_88227392_88229959_3,ENSMUSG00000097156.7,41,51,117,53,66,31,67,4
ENSMUSG00000097156.7_88227392_88229959_2,ENSMUSG00000097156.7,38,58,99,50,50,33,55,3
ENSMUST00000033483.4,ENSMUSG00000031143.4,0,10,10,10,10,1,6,1
ENSMUSG00000032300.7_57253117_57256558_1,ENSMUSG00000032300.7,5,1,7,1,0,1,3,0
ENSMUSG00000009575.14_103205499_103239816_1,ENSMUSG00000009575.14,11,13,30,12,21,6,14,0
ENSMUSG00000026491.13_179746091_179752991_1,ENSMUSG00000026491.13,10,11,20,10,11,13,14,0
ENSMUSG00000027680.15_34020108_34069338_1,ENSMUSG00000027680.15,5,5,8,2,13,3,5,0
ENSMUST00000204598.2,ENSMUSG00000055239.10,1,1,4,7,0,1,3,0
ENSMUSG00000031256.11_134059334_134075863_1,ENSMUSG00000031256.11,29,34,45,22,29,15,25,3
ENSMUSG00000042569.13_60830679_60858146_1,ENSMUSG00000042569.13,75,78,147,50,115,60,80,3
ENSMUSG00000042569.13_60830679_60858146_2,ENSMUSG00000042569.13,10,17,27,14,17,13,11,3
ENSMUST00000099484.8,ENSMUSG00000066613.14,45,45,84,29,67,27,49,4
ENSMUST00000169948.1,ENSMUSG00000029397.15,57,59,74,36,99,15,53,3
ENSMUSG00000033845.13_4776377_4785692_2,ENSMUSG00000033845.13,39,46,66,33,48,22,32,4
ENSMUST00000177848.2,ENSMUSG00000021635.14,2,3,1,2,1,2,3,0
ENSMUSG00000086290.9_132308676_132311132_1,ENSMUSG00000086290.9,35,44,28,45,26,17,14,2
ENSMUSG00000031432.3_140456757_140476140_1,ENSMUSG00000031432.3,65,77,107,53,68,48,65,2
ENSMUST00000031788.8,ENSMUSG00000029776.11,36,67,116,78,112,34,80,6
ENSMUST00000112464.7,ENSMUSG00000044150.12,7,17,18,21,34,10,16,0
ENSMUSG00000087260.5_107278999_107284082_3,ENSMUSG00000087260.5,13,14,39,6,18,6,15,0
ENSMUSG00000011306.7_70043049_70071955_1,ENSMUSG00000011306.7,29,61,65,32,53,26,37,3
ENSMUSG00000087260.5_107278999_107284082_1,ENSMUSG00000087260.5,6,7,6,4,7,1,8,0
ENSMUSG00000003031.14_134924680_134925513_5,ENSMUSG00000003031.14,11,11,9,7,19,2,10,0
ENSMUSG00000003031.14_134924680_134925513_6,ENSMUSG00000003031.14,5,12,2,2,6,1,0,0
ENSMUSG00000003031.14_134924680_134925513_1,ENSMUSG00000003031.14,6,7,2,4,8,0,0,0
ENSMUSG00000015289.4_74352162_74353596_2,ENSMUSG00000015289.4,4,5,5,4,5,1,1,0
ENSMUSG00000015289.4_74352162_74353596_3,ENSMUSG00000015289.4,23,27,42,15,26,13,16,5
ENSMUSG00000015289.4_74352162_74353596_1,ENSMUSG00000015289.4,16,11,10,7,14,6,10,2
ENSMUSG00000021241.7_84773325_84775088_1,ENSMUSG00000021241.7,7,4,19,4,11,7,10,2
ENSMUSG00000021241.7_84773325_84775088_2,ENSMUSG00000021241.7,5,9,12,7,15,7,7,0
ENSMUSG00000015289.4_74352162_74353596_5,ENSMUSG00000015289.4,48,65,81,27,76,30,39,3
ENSMUSG00000041124.11_4376569_4383702_1,ENSMUSG00000041124.11,5,3,2,3,5,0,0,0
ENSMUSG00000008859.8_17882311_17944239_1,ENSMUSG00000008859.8,84,79,197,99,123,107,151,6
ENSMUST00000141608.1,ENSMUSG00000006095.12,41,49,88,17,68,27,53,3
ENSMUSG00000044792.7_59756762_59769776_1,ENSMUSG00000044792.7,1,3,0,0,0,1,0,0
ENSMUST00000202950.3,ENSMUSG00000029141.16,11,14,23,11,16,8,13,0
ENSMUST00000037055.13,ENSMUSG00000036622.15,11,15,22,13,14,8,13,0
ENSMUST00000112705.8,ENSMUSG00000026946.9,7,9,16,7,14,4,12,0
ENSMUSG00000014932.15_32611171_32687057_1,ENSMUSG00000014932.15,34,31,57,32,53,16,35,2
ENSMUSG00000038351.14_74867998_74897080_1,ENSMUSG00000038351.14,6,9,3,12,16,0,0,0
ENSMUSG00000037622.14_133292459_133339271_1,ENSMUSG00000037622.14,2,17,14,14,17,12,12,0
ENSMUSG00000058690.14_36898195_36919333_1,ENSMUSG00000058690.14,6,6,12,7,17,10,9,0
ENSMUST00000005714.13,ENSMUSG00000005575.16,190,271,508,184,267,179,290,18
ENSMUST00000019862.2,ENSMUSG00000019718.8,46,44,76,51,31,32,51,2
ENSMUSG00000024177.9_26091736_26095473_3,ENSMUSG00000024177.9,13,27,24,6,15,8,13,0
ENSMUSG00000024177.9_26091736_26095473_2,ENSMUSG00000024177.9,19,28,62,21,28,24,25,2
ENSMUSG00000024177.9_26091736_26095473_1,ENSMUSG00000024177.9,31,49,91,26,38,49,51,6
ENSMUSG00000032501.9_59648653_59655998_1,ENSMUSG00000032501.9,11,7,6,12,18,6,6,1
ENSMUST00000022082.7,ENSMUSG00000021591.8,57,102,128,69,178,43,75,7
ENSMUST00000093298.11,ENSMUSG00000045671.17,15,17,4,15,25,6,9,0
ENSMUST00000147712.7,ENSMUSG00000035919.16,2,1,5,1,1,1,0,0
ENSMUST00000128754.7,ENSMUSG00000051517.14,3,5,9,10,3,1,3,0
ENSMUSG00000042505.6_6956007_7039141_1,ENSMUSG00000042505.6,5,6,10,9,13,3,7,1
ENSMUSG00000026463.17_133753394_133801041_1,ENSMUSG00000026463.17,3,1,1,2,9,3,5,0
ENSMUST00000238095.1,ENSMUSG00000024953.17,9,22,34,8,29,13,27,1
ENSMUSG00000030689.15_126852433_126862361_1,ENSMUSG00000030689.15,20,33,27,22,32,10,22,1
ENSMUST00000016897.11,ENSMUSG00000022442.16,12,20,29,13,27,11,12,1
ENSMUSG00000035247.16_51743722_51748515_1,ENSMUSG00000035247.16,92,112,173,85,145,65,99,8
ENSMUSG00000022205.15_11984041_11993844_11,ENSMUSG00000022205.15,0,1,1,1,4,0,0,0
ENSMUSG00000045128.9_70895444_70896290_4,ENSMUSG00000045128.9,4,0,1,0,1,0,1,0
ENSMUSG00000022205.15_11984041_11993844_13,ENSMUSG00000022205.15,2,0,2,1,2,0,1,0
ENSMUSG00000045128.9_70895444_70896290_2,ENSMUSG00000045128.9,2,2,4,0,7,0,2,0
ENSMUSG00000045128.9_70895444_70896290_3,ENSMUSG00000045128.9,1,2,3,0,1,0,0,0
ENSMUSG00000045128.9_70895444_70896290_1,ENSMUSG00000045128.9,1,1,5,0,0,1,0,0
ENSMUSG00000034343.14_91250337_91285568_6,ENSMUSG00000034343.14,8,5,14,6,16,3,6,2
ENSMUST00000191774.5,ENSMUSG00000047213.14,35,34,29,32,32,3,21,4
ENSMUST00000028619.4,ENSMUSG00000027195.10,148,232,436,211,316,150,252,12
ENSMUSG00000031371.14_73437315_73459044_1,ENSMUSG00000031371.14,8,8,8,10,12,2,7,1
ENSMUST00000015346.11,ENSMUSG00000015202.13,1,11,15,12,8,7,10,0
ENSMUSG00000059586.10_59374285_59601442_1,ENSMUSG00000059586.10,20,25,11,25,20,9,14,0
ENSMUSG00000021185.16_100779136_100872354_2,ENSMUSG00000021185.16,9,17,36,11,19,14,13,2
ENSMUST00000197112.1,ENSMUSG00000029390.13,1,3,3,1,0,3,1,0
ENSMUST00000091295.13,ENSMUSG00000041431.16,113,161,220,129,135,81,153,3
ENSMUSG00000060373.15_52074452_52103993_6,ENSMUSG00000060373.15,101,107,268,97,151,71,151,6
ENSMUST00000127734.2,ENSMUSG00000039176.17,1,1,0,0,0,0,0,0
ENSMUSG00000029003.11_148140724_148145699_2,ENSMUSG00000029003.11,17,21,68,10,34,11,28,3
ENSMUST00000054553.10,ENSMUSG00000038346.18,3,2,3,4,3,1,4,1
ENSMUST00000026989.14,ENSMUSG00000025871.18,42,47,90,56,77,33,47,5
ENSMUSG00000075700.9_58576698_58591753_1,ENSMUSG00000075700.9,57,56,90,44,63,33,58,2
ENSMUST00000149267.7,ENSMUSG00000038005.15,15,18,42,21,13,11,21,2
ENSMUSG00000112278.1_80435209_80435936_1,ENSMUSG00000112278.1,30,29,78,33,55,24,60,5
ENSMUSG00000025758.10_40815052_40816883_1,ENSMUSG00000025758.10,47,52,71,40,42,19,36,3
ENSMUST00000168937.7,ENSMUSG00000042688.16,9,28,31,19,16,12,15,1
ENSMUST00000087351.8,ENSMUSG00000046434.16,607,973,1511,929,1022,435,758,63
ENSMUST00000119559.7,ENSMUSG00000026000.16,41,67,99,46,92,35,78,6
ENSMUSG00000037126.16_46312087_46317876_1,ENSMUSG00000037126.16,4,6,9,6,5,8,10,1
ENSMUST00000143359.7,ENSMUSG00000031441.15,9,9,10,2,5,7,7,1
ENSMUST00000027940.5,ENSMUSG00000026627.7,24,22,38,6,26,13,31,4
ENSMUST00000037534.7,ENSMUSG00000040746.15,7,14,21,23,27,8,10,0
ENSMUSG00000090137.8_70508266_70510379_1,ENSMUSG00000090137.8,93,142,228,97,130,85,143,13
ENSMUSG00000014867.9_26920040_26933414_1,ENSMUSG00000014867.9,72,109,181,103,127,81,122,17
ENSMUSG00000024213.14_27580387_27623495_1,ENSMUSG00000024213.14,47,46,102,38,58,54,45,6
ENSMUSG00000019841.15_39732127_39822013_2,ENSMUSG00000019841.15,12,24,7,28,21,7,7,0
ENSMUSG00000022332.8_68928697_69093519_2,ENSMUSG00000022332.8,145,218,388,130,192,162,199,17
ENSMUSG00000032366.15_67022590_67043778_2,ENSMUSG00000032366.15,44,65,114,43,52,38,57,1
ENSMUST00000153957.7,ENSMUSG00000039263.16,39,32,97,33,62,30,47,4
ENSMUSG00000037750.16_78094708_78156077_1,ENSMUSG00000037750.16,7,13,16,7,8,6,9,1
ENSMUSG00000020248.18_82750218_82763916_2,ENSMUSG00000020248.18,6,13,9,7,0,4,3,2
ENSMUSG00000024608.11_60776399_60778466_5,ENSMUSG00000024608.11,4,5,10,1,3,2,6,0
ENSMUSG00000024608.11_60776399_60778466_3,ENSMUSG00000024608.11,1,1,1,1,2,0,1,0
ENSMUSG00000024608.11_60776399_60778466_2,ENSMUSG00000024608.11,1,3,7,1,0,3,1,1
ENSMUSG00000024608.11_60776399_60778466_1,ENSMUSG00000024608.11,0,3,14,4,4,4,5,2
ENSMUST00000113914.7,ENSMUSG00000022940.17,3,6,6,3,5,3,6,0
ENSMUST00000234261.1,ENSMUSG00000039183.6,16,13,51,9,22,19,31,4
ENSMUST00000119223.1,ENSMUSG00000046179.17,20,29,29,25,17,8,17,2
ENSMUST00000208114.1,ENSMUSG00000025103.8,99,110,131,84,173,46,98,2
ENSMUSG00000033845.13_4774436_4785692_2,ENSMUSG00000033845.13,9,14,14,8,10,4,10,0
ENSMUST00000163389.8,ENSMUSG00000030890.16,94,108,174,90,122,87,133,9
ENSMUST00000128774.2,ENSMUSG00000047909.11,0,0,4,0,0,0,1,0
ENSMUSG00000046434.16_103240021_103246692_1,ENSMUSG00000046434.16,11,6,7,9,9,3,5,0
ENSMUSG00000042557.14_57076376_57095479_2,ENSMUSG00000042557.14,7,14,3,7,12,1,3,0
ENSMUSG00000042557.14_57076376_57095479_1,ENSMUSG00000042557.14,6,12,8,6,13,0,1,0
ENSMUSG00000029394.11_124345417_124351027_1,ENSMUSG00000029394.11,77,62,132,44,74,57,72,5
ENSMUST00000152367.7,ENSMUSG00000027201.16,20,28,19,13,17,10,14,3
ENSMUSG00000025907.14_6249436_6275162_1,ENSMUSG00000025907.14,12,16,31,10,17,7,13,0
ENSMUSG00000028426.10_55350050_55391207_1,ENSMUSG00000028426.10,18,25,56,22,16,15,17,1
ENSMUST00000111620.9,ENSMUSG00000026708.16,24,26,35,21,22,9,27,1
ENSMUSG00000075229.11_36072084_36091959_1,ENSMUSG00000075229.11,1,1,7,4,6,1,1,1
ENSMUST00000236980.1,ENSMUSG00000036748.16,32,71,113,48,83,36,46,5
ENSMUSG00000042572.12_89773616_89782744_1,ENSMUSG00000042572.12,52,56,95,52,46,31,50,5
ENSMUST00000100193.7,ENSMUSG00000059248.13,21,25,66,25,53,16,41,2
ENSMUSG00000003531.15_18066443_18071633_1,ENSMUSG00000003531.15,10,15,31,10,22,20,22,3
ENSMUST00000165532.2,ENSMUSG00000025794.9,321,507,743,398,398,287,470,35
ENSMUST00000164589.8,ENSMUSG00000030590.15,10,10,33,11,14,12,21,4
ENSMUSG00000040618.7_55540389_55548872_1,ENSMUSG00000040618.7,15,17,25,6,12,7,11,0
ENSMUST00000105345.9,ENSMUSG00000020167.14,23,45,58,51,40,18,39,4
ENSMUSG00000029763.17_33249132_33347877_1,ENSMUSG00000029763.17,10,12,8,11,19,5,2,0
ENSMUSG00000028405.9_40143447_40198338_1,ENSMUSG00000028405.9,48,84,128,55,65,44,83,6
ENSMUST00000102602.7,ENSMUSG00000049299.14,221,290,496,209,436,193,312,21
ENSMUSG00000020914.17_98992943_98999310_1,ENSMUSG00000020914.17,178,138,327,109,213,90,207,13
ENSMUSG00000030557.17_67266013_67372827_1,ENSMUSG00000030557.17,2,3,0,5,3,1,3,0
ENSMUSG00000014959.12_70661576_70691442_1,ENSMUSG00000014959.12,29,40,51,46,33,22,29,0
ENSMUST00000154132.7,ENSMUSG00000019868.16,185,258,300,197,326,121,233,14
ENSMUSG00000026960.6_53192088_53218445_1,ENSMUSG00000026960.6,57,77,135,67,85,56,74,10
ENSMUSG00000026873.9_34906156_34914182_1,ENSMUSG00000026873.9,4,4,7,5,3,3,6,0
ENSMUSG00000044768.16_97645016_97662074_1,ENSMUSG00000044768.16,20,20,38,9,30,8,18,0
ENSMUST00000128100.1,ENSMUSG00000028394.9,0,2,5,1,4,3,2,0
ENSMUSG00000027201.16_125115444_125123595_1,ENSMUSG00000027201.16,18,21,19,28,24,4,9,1
ENSMUST00000127793.1,ENSMUSG00000090137.8,111,114,319,67,140,74,160,11
ENSMUSG00000073423.10_33629127_33631716_1,ENSMUSG00000073423.10,7,14,17,13,12,8,10,0
ENSMUST00000022727.9,ENSMUSG00000022130.10,7,20,36,17,24,11,18,2
ENSMUST00000190068.6,ENSMUSG00000025507.13,20,23,55,23,20,16,18,1
ENSMUSG00000038366.15_97799672_97838764_1,ENSMUSG00000038366.15,384,423,658,394,557,251,412,35
ENSMUST00000138202.7,ENSMUSG00000029640.17,29,47,87,21,59,31,48,0
ENSMUSG00000024429.9_35980125_35988867_1,ENSMUSG00000024429.9,73,85,173,72,97,78,109,8
ENSMUST00000143170.8,ENSMUSG00000022538.20,31,35,45,21,23,15,23,0
ENSMUSG00000055839.6_23824804_23828979_1,ENSMUSG00000055839.6,14,10,33,7,19,11,15,3
ENSMUSG00000028330.8_46138761_46172403_1,ENSMUSG00000028330.8,145,189,394,162,183,138,226,18
ENSMUSG00000029466.11_122422481_122444447_1,ENSMUSG00000029466.11,37,71,105,68,71,36,64,2
ENSMUST00000028220.9,ENSMUSG00000035949.15,12,15,15,10,9,1,8,0
ENSMUSG00000043391.10_21676722_21694580_1,ENSMUSG00000043391.10,4,8,14,6,9,6,14,1
ENSMUSG00000021785.8_16249327_16271838_1,ENSMUSG00000021785.8,7,8,14,7,12,3,8,0
ENSMUSG00000022635.9_93386113_93388144_1,ENSMUSG00000022635.9,10,8,17,13,14,4,11,2
ENSMUSG00000061755.10_41826471_41844292_1,ENSMUSG00000061755.10,13,26,35,17,19,17,25,5
ENSMUSG00000027274.16_136873780_136891167_1,ENSMUSG00000027274.16,6,20,31,17,21,6,9,3
ENSMUSG00000028261.13_24898131_24902217_2,ENSMUSG00000028261.13,66,78,125,64,102,53,75,8
ENSMUST00000212590.1,ENSMUSG00000006276.10,18,28,36,17,18,6,19,4
ENSMUSG00000028261.13_24898131_24902217_1,ENSMUSG00000028261.13,17,28,32,29,30,18,30,4
ENSMUST00000207663.1,ENSMUSG00000061028.7,6,18,26,14,13,10,22,0
ENSMUSG00000028284.13_31964120_32020483_1,ENSMUSG00000028284.13,9,9,18,2,15,6,4,0
ENSMUSG00000011257.19_123282825_123298822_1,ENSMUSG00000011257.19,11,15,26,11,14,10,13,1
ENSMUST00000002452.7,ENSMUSG00000002379.7,453,659,911,416,886,380,677,47
ENSMUST00000224122.1,ENSMUSG00000024533.17,6,14,15,13,11,15,13,0
ENSMUSG00000018379.17_88047803_88051472_1,ENSMUSG00000018379.17,1,7,3,3,4,3,1,0
ENSMUSG00000043140.10_8633884_8637523_1,ENSMUSG00000043140.10,14,29,28,25,22,20,15,4
ENSMUST00000237181.1,ENSMUSG00000024911.7,1,0,0,0,2,0,0,0
ENSMUSG00000031105.16_48653450_48662294_1,ENSMUSG00000031105.16,14,12,36,9,24,12,20,2
ENSMUSG00000020152.7_20064793_20112870_1,ENSMUSG00000020152.7,22,34,11,35,25,4,5,1
ENSMUSG00000022707.16_70314063_70569716_1,ENSMUSG00000022707.16,12,23,28,22,32,8,19,0
ENSMUST00000076383.7,ENSMUSG00000020271.17,0,1,1,2,4,0,0,0
ENSMUSG00000005378.17_135052957_135054116_1,ENSMUSG00000005378.17,50,58,148,36,62,44,80,6
ENSMUST00000032839.12,ENSMUSG00000030610.13,2,16,23,14,10,9,16,1
ENSMUST00000233192.1,ENSMUSG00000063888.7,9,8,8,3,9,4,9,0
ENSMUSG00000022899.9_36750177_36784794_1,ENSMUSG00000022899.9,23,32,42,24,84,15,27,3
ENSMUSG00000020814.13_116804416_116828013_2,ENSMUSG00000020814.13,4,12,19,9,4,9,8,0
ENSMUST00000161186.7,ENSMUSG00000038084.16,3,7,5,5,7,4,5,1
ENSMUSG00000029454.15_121525048_121545482_1,ENSMUSG00000029454.15,10,21,51,19,27,15,23,1
ENSMUST00000058098.14,ENSMUSG00000046873.18,62,62,80,42,81,36,42,4
ENSMUSG00000041769.13_138846359_138882729_1,ENSMUSG00000041769.13,18,27,33,20,23,12,22,0
ENSMUSG00000041769.13_138846359_138882729_2,ENSMUSG00000041769.13,4,10,19,14,6,6,5,0
ENSMUSG00000028639.14_119277981_119279105_1,ENSMUSG00000028639.14,228,280,132,138,277,62,73,16
ENSMUST00000057115.6,ENSMUSG00000044792.7,71,110,179,103,137,52,107,11
ENSMUSG00000000346.9_100616105_100620761_1,ENSMUSG00000000346.9,0,2,3,3,4,0,3,0
ENSMUST00000234696.1,ENSMUSG00000024097.11,15,19,31,19,27,11,16,3
ENSMUST00000167885.7,ENSMUSG00000007656.13,4,9,23,5,12,5,15,0
ENSMUSG00000027160.16_110040648_110041301_1,ENSMUSG00000027160.16,0,0,16,0,2,2,6,0
ENSMUST00000020909.3,ENSMUSG00000020585.4,79,189,221,144,211,109,147,20
ENSMUST00000226010.1,ENSMUSG00000050002.14,1,11,6,8,5,2,2,0
ENSMUST00000032372.6,ENSMUSG00000030245.10,26,37,72,29,73,13,30,5
ENSMUSG00000022451.12_94579063_94589879_1,ENSMUSG00000022451.12,20,18,19,18,37,5,8,1
ENSMUST00000001559.10,ENSMUSG00000001518.12,14,23,32,18,21,6,23,1
ENSMUSG00000019948.4_89711971_89732298_1,ENSMUSG00000019948.4,78,65,130,50,126,47,65,1
ENSMUST00000118368.7,ENSMUSG00000020415.16,33,25,55,19,26,21,46,2
ENSMUSG00000046330.10_72711290_72713673_1,ENSMUSG00000046330.10,5057,6351,8432,4402,7043,3183,4545,365
ENSMUSG00000027357.16_132846688_132866153_1,ENSMUSG00000027357.16,18,16,25,12,24,11,18,3
ENSMUSG00000036550.16_95720156_95720735_1,ENSMUSG00000036550.16,64,45,79,41,86,21,48,2
ENSMUST00000070215.7,ENSMUSG00000056209.7,259,395,597,275,333,236,299,36
ENSMUST00000181593.7,ENSMUSG00000060424.14,94,154,189,91,179,77,155,3
ENSMUST00000034300.7,ENSMUSG00000031839.7,766,949,1260,654,1376,415,733,69
ENSMUST00000154891.7,ENSMUSG00000030815.11,2,5,6,4,7,3,5,0
ENSMUSG00000030613.13_92561495_92582079_2,ENSMUSG00000030613.13,19,18,18,15,25,8,16,1
ENSMUSG00000041720.14_17280353_17297607_1,ENSMUSG00000041720.14,47,54,40,47,51,23,37,4
ENSMUST00000071492.8,ENSMUSG00000057497.8,86,124,225,101,82,83,104,6
ENSMUSG00000071644.10_8967041_8978182_1,ENSMUSG00000071644.10,170,267,385,235,213,133,190,22
ENSMUST00000028403.2,ENSMUSG00000027015.4,64,138,146,84,109,58,66,9
