Differentially expressed genes,,,,,,,,,
EntrezID,Symbols,GeneName,Chr.1,logFC,AveExpr,t,P.Value,adj.P.Val,B
93877,Pcdhb6,protocadherin beta 6,18,3.139661174,1.49531871,-10.40759735,7.27E-08,1.57E-05,8.509130947
100417675,Nlrp5-ps,"NLR family, pyrin domain containing 5, pseudogene",7,3.120232278,2.510036986,-13.6457508,2.45E-09,2.69E-06,11.85880397
271786,Galnt13,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13,2,3.089447911,0.246712976,-8.729134722,5.96E-07,4.83E-05,6.356604103
19259,Ptpn5,"protein tyrosine phosphatase, non-receptor type 5",7,2.951065375,0.419543108,-6.008007825,3.59E-05,0.000650968,2.562183836
23968,Nlrp5,"NLR family, pyrin domain containing 5",7,2.917317519,-0.963446281,-8.004657746,1.62E-06,9.03E-05,5.352872337
240119,St6gal2,"beta galactoside alpha 2,6 sialyltransferase 2",17,2.900618274,-0.168974825,-7.720960686,2.44E-06,0.000115647,5.032617893
329274,Fam163a,"family with sequence similarity 163, member A",1,2.822139375,-1.93785182,-6.832287144,9.37E-06,0.000265702,3.652435604
231760,Rimbp2,RIMS binding protein 2,5,2.816638931,-0.186621379,-8.222954108,1.19E-06,7.57E-05,5.689551188
574402,Gpr17,G protein-coupled receptor 17,18,2.797734798,0.559259141,-5.714638523,5.92E-05,0.000905243,2.083417368
14401,Gabrb2,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 2",11,2.764672604,0.010016432,-8.526203955,7.84E-07,5.96E-05,6.082187103
268755,A930011O12Rik,RIKEN cDNA A930011O12 gene,14,2.758951734,-1.289608494,-5.994053243,3.67E-05,0.000661631,2.472263086
353236,Pcdhac1,"protocadherin alpha subfamily C, 1",18,2.736921478,-1.797841972,-6.231865279,2.47E-05,0.000511269,2.808413608
245446,Slitrk4,"SLIT and NTRK-like family, member 4",X,2.719038409,-0.030008668,-7.252993158,4.89E-06,0.000177521,4.433434506
72902,Spock3,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3",8,2.710074095,-1.959725909,-6.72301627,1.11E-05,0.00030172,3.501147551
209086,Samd9l,sterile alpha motif domain containing 9-like,6,2.705835804,-0.096920797,-7.710076599,2.48E-06,0.00011672,5.042122837
18595,Pdgfra,"platelet derived growth factor receptor, alpha polypeptide",5,2.693714605,6.100161408,-12.08929818,1.14E-08,7.70E-06,10.06082596
12943,Pcdha10,protocadherin alpha 10,18,2.678486491,0.613557072,-8.901550108,4.74E-07,4.37E-05,6.682902844
11994,Pcdh15,protocadherin 15,10,2.669936383,3.312942676,-11.22272811,2.87E-08,1.11E-05,9.477171825
66808,9030624G23Rik,RIKEN cDNA 9030624G23 gene,12,2.657058344,-0.405392737,-8.875940134,4.90E-07,4.45E-05,6.484522087
16536,Kcnq2,"potassium voltage-gated channel, subfamily Q, member 2",2,2.65192809,1.216777616,-4.898218119,0.000253537,0.002308667,0.54713878
237553,Trhde,TRH-degrading enzyme,10,2.631721915,-1.703128012,-5.152138144,0.000159721,0.001708918,1.142615594
100043416,Gm4425,predicted gene 4425,12,2.62844927,-0.839165651,-6.826046101,9.46E-06,0.000267064,3.746334777
93876,Pcdhb5,protocadherin beta 5,18,2.618700134,2.079570501,-13.98482088,1.79E-09,2.32E-06,12.10515915
215378,Fam5c,"family with sequence similarity 5, member C",1,2.603811589,2.912248771,-10.63849147,5.56E-08,1.41E-05,8.834125976
20716,Serpina3n,"serine (or cysteine) peptidase inhibitor, clade A, member 3N",12,2.601088976,0.187932957,-9.071654282,3.79E-07,3.80E-05,6.802908519
236573,Gbp9,guanylate-binding protein 9,5,2.594482706,1.116411817,-8.983684777,4.25E-07,4.03E-05,6.820857876
237010,Klhl4,kelch-like 4,X,2.565760911,1.277944143,-11.81484417,1.52E-08,9.67E-06,9.979628878
20665,Sox10,SRY-box containing gene 10,15,2.558617491,1.026706028,-7.366608774,4.12E-06,0.000156734,4.637039732
93879,Pcdhb8,protocadherin beta 8,18,2.547212771,1.240656107,-11.34011459,2.53E-08,1.06E-05,9.47931922
320026,A330076H08Rik,RIKEN cDNA A330076H08 gene,7,2.535988408,1.566936088,-11.30607007,2.62E-08,1.07E-05,9.506689065
14799,Gria1,"glutamate receptor, ionotropic, AMPA1 (alpha 1)",11,2.509030961,3.178847323,-10.23354497,8.93E-08,1.72E-05,8.339723688
13193,Dcx,doublecortin,X,2.487911228,1.114109905,-7.114556345,6.04E-06,0.000203479,4.267159693
93837,Dach2,dachshund 2 (Drosophila),X,2.44458595,0.682613783,-10.25799734,8.67E-08,1.72E-05,8.264280321
330998,Ankrd34c,ankyrin repeat domain 34C,9,2.438560721,2.224478441,-10.65196491,5.47E-08,1.41E-05,8.852979785
14580,Gfap,glial fibrillary acidic protein,11,2.434741194,-1.434271865,-4.981424053,0.000217711,0.002096928,0.860556573
195531,Gm13152,predicted gene 13152,4,2.419316218,-0.375757951,-6.314743302,2.15E-05,0.000461997,3.036026052
72821,Scn2b,"sodium channel, voltage-gated, type II, beta",9,2.419002956,-0.537074939,-5.753273591,5.54E-05,0.000869353,2.148182716
72301,1810041L15Rik,RIKEN cDNA 1810041L15 gene,15,2.412025635,0.948318127,-8.028268626,1.57E-06,8.82E-05,5.564051153
94229,Slc4a10,"solute carrier family 4, sodium bicarbonate cotransporter-like, member 10",2,2.405638198,-1.307918711,-4.937135209,0.000236074,0.00219934,0.788646829
17933,Myt1l,myelin transcription factor 1-like,12,2.400602024,1.237525661,-8.407058515,9.23E-07,6.54E-05,6.08556733
14842,Gsx1,GS homeobox 1,5,2.390471903,0.042151613,-6.803036606,9.81E-06,0.00027408,3.782902963
14397,Gabra4,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4",5,2.385095213,-0.00837626,-6.719893332,1.12E-05,0.000302643,3.666630084
546524,Gm5953,predicted gene 5953,12,2.361939832,0.345832598,-8.285968547,1.09E-06,7.15E-05,5.879784753
245404,Dcaf12l1,DDB1 and CUL4 associated factor 12-like 1,X,2.35785865,1.007271519,-10.68840119,5.25E-08,1.41E-05,8.798982656
20725,Serpinb8,"serine (or cysteine) peptidase inhibitor, clade B, member 8",1,2.347686095,1.039975068,-9.055133627,3.87E-07,3.80E-05,6.910499668
386750,Slitrk3,"SLIT and NTRK-like family, member 3",3,2.344376466,2.218985467,-10.75838222,4.84E-08,1.41E-05,8.972960781
319893,A230057D06Rik,RIKEN cDNA A230057D06 gene,7,2.34215312,1.182551825,-9.346935106,2.66E-07,3.17E-05,7.274835355
17196,Mbp,myelin basic protein,18,2.333324116,-0.072372904,-6.776792231,1.02E-05,0.000281374,3.737918651
18191,Nrxn3,neurexin III,12,2.325093433,-0.255871299,-7.068527924,6.49E-06,0.000213579,4.152593204
224997,Dlgap1,"discs, large (Drosophila) homolog-associated protein 1",17,2.313984316,1.618546946,-8.852122743,5.06E-07,4.48E-05,6.676483328
269643,Ppp2r2c,"protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), gamma isoform",5,2.29540233,1.767829959,-6.844461514,9.19E-06,0.000263086,3.804586264
636104,Gm7173,predicted gene 7173,X,2.268216699,-0.956720849,-5.951517957,3.95E-05,0.000694891,2.445798416
100861759,NA,NA,NA,2.265324446,-0.214467911,-7.99410716,1.65E-06,9.07E-05,5.445769839
12395,Runx1t1,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related)",4,2.260670868,-0.672482441,-6.042491032,3.39E-05,0.000627873,2.604193296
100041293,Gm3257,predicted gene 3257,7,2.25641013,0.100682201,-6.706342349,1.14E-05,0.000306782,3.654104661
23963,Tenm1,teneurin transmembrane protein 1,X,2.240829469,-1.143169668,-5.071780639,0.000184704,0.001879538,1.019356765
12982,Csf2ra,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",19,2.23974899,1.642374472,-9.299951115,2.82E-07,3.23E-05,7.247134385
232370,Clstn3,calsyntenin 3,6,2.23151398,0.952699181,-8.195756225,1.24E-06,7.70E-05,5.798047376
93880,Pcdhb9,protocadherin beta 9,18,2.224010566,-0.182397705,-6.546462151,1.48E-05,0.000362347,3.398719408
330166,Miat,myocardial infarction associated transcript (non-protein coding),5,2.219396524,0.326019885,-7.245425715,4.95E-06,0.00017866,4.451413407
219257,Pcdh20,protocadherin 20,14,2.219109431,0.875632523,-7.670795861,2.62E-06,0.00011971,5.07222712
382867,Zfp488,zinc finger protein 488,14,2.215670767,-0.177884829,-5.336337637,0.000114842,0.001369523,1.460343122
224344,Rbm11,RNA binding motif protein 11,16,2.209483966,-1.371563817,-5.055318168,0.000190305,0.00192428,0.984777273
53897,Gal3st1,galactose-3-O-sulfotransferase 1,11,2.207704631,-0.290791089,-5.229096369,0.000139081,0.001556697,1.28064909
13850,Ephx2,"epoxide hydrolase 2, cytoplasmic",14,2.203377566,-1.50696977,-4.817819788,0.000293988,0.002572127,0.585919115
57266,Cxcl14,chemokine (C-X-C motif) ligand 14,13,2.202795883,0.616500638,-4.55100143,0.000483225,0.003699873,0.005166309
74199,Vit,vitrin,17,2.200133316,0.129344278,-6.481558962,1.64E-05,0.00039081,3.307939574
22253,Unc5c,unc-5 homolog C (C. elegans),3,2.191693169,1.61228339,-8.87437877,4.91E-07,4.45E-05,6.70537081
17263,Meg3,maternally expressed 3,12,2.190688502,-0.228827351,-5.581190628,7.46E-05,0.001048725,1.868974781
12942,Pcdha11,protocadherin alpha 11,18,2.173082798,-0.535329311,-6.327460968,2.11E-05,0.000455182,3.050598794
20269,Scn3a,"sodium channel, voltage-gated, type III, alpha",2,2.171927733,2.796544278,-9.85981342,1.40E-07,2.17E-05,7.904238051
20605,Sstr1,somatostatin receptor 1,12,2.166373983,-0.714221038,-5.554539892,7.82E-05,0.001074985,1.822261329
75745,Rian,RNA imprinted and accumulated in nucleus,12,2.164287049,1.363199006,-8.13031711,1.36E-06,8.04E-05,5.71476002
76982,3110035E14Rik,RIKEN cDNA 3110035E14 gene,1,2.160985692,5.036623382,-12.1952098,1.02E-08,7.25E-06,10.29152642
58188,Vstm2b,V-set and transmembrane domain containing 2B,7,2.150744262,0.695251417,-7.222490666,5.12E-06,0.000184062,4.427761207
16494,Kcna6,"potassium voltage-gated channel, shaker-related, subfamily, member 6",6,2.149475792,3.805174955,-10.25515633,8.70E-08,1.72E-05,8.25953454
12362,Casp1,caspase 1,9,2.148856447,-0.651811475,-4.824796893,0.000290226,0.002543907,0.590138166
75769,4833424O15Rik,RIKEN cDNA 4833424O15 gene,3,2.123317951,2.663422623,-10.6601187,5.42E-08,1.41E-05,8.859751336
14961,H2-Ab1,"histocompatibility 2, class II antigen A, beta 1",17,2.122207217,-0.323200888,-6.544101856,1.48E-05,0.000362347,3.386429324
238271,Kcnh5,"potassium voltage-gated channel, subfamily H (eag-related), member 5",12,2.115297713,0.222349847,-7.67177518,2.62E-06,0.00011971,5.049674057
13371,Dio2,"deiodinase, iodothyronine, type II",12,2.102443086,3.611283749,-10.59960375,5.81E-08,1.41E-05,8.703897194
100861601,Gm21067,"predicted gene, 21067",12,2.101253309,-0.243078865,-4.932445262,0.000238111,0.002211858,0.752245125
18810,Plec,plectin,15,2.091234192,4.264395497,-13.88225617,1.97E-09,2.34E-06,12.07658326
232813,Shisa7,shisa homolog 7 (Xenopus laevis),7,2.089927397,0.988656987,-5.087519818,0.000179508,0.001845149,0.951803506
57754,Cend1,cell cycle exit and neuronal differentiation 1,7,2.082574668,0.250307418,-6.830557447,9.39E-06,0.000265702,3.840127847
14415,Gad1,glutamate decarboxylase 1,2,2.073812081,-0.003991373,-6.155155309,2.80E-05,0.000552416,2.797569994
93883,Pcdhb12,protocadherin beta 12,18,2.067129856,0.590959112,-9.194735633,3.23E-07,3.54E-05,7.059744447
553095,Gm17750,"predicted gene, 17750",13,2.061733675,-0.254848012,-4.735111899,0.000342634,0.002868933,0.417870315
320679,Samd12,sterile alpha motif domain containing 12,15,2.0457699,-0.05864609,-6.942825227,7.88E-06,0.000239037,3.997719165
93878,Pcdhb7,protocadherin beta 7,18,2.038771288,1.472691837,-10.06745249,1.09E-07,1.82E-05,8.166498215
108030,Lin7a,lin-7 homolog A (C. elegans),10,2.038448391,1.908617637,-8.801300083,5.41E-07,4.56E-05,6.603740038
26414,Mapk10,mitogen-activated protein kinase 10,5,2.030437481,2.268002113,-7.650379642,2.70E-06,0.000121284,4.963816579
77996,D730039F16Rik,RIKEN cDNA D730039F16 gene,2,2.017989246,-0.894286881,-5.330331685,0.000116075,0.001374636,1.453471797
12823,Col19a1,"collagen, type XIX, alpha 1",1,2.013064714,3.033469627,-9.636375676,1.85E-07,2.57E-05,7.59048176
21420,Tfap2c,"transcription factor AP-2, gamma",2,2.010334001,0.747381344,-7.449561561,3.64E-06,0.000145439,4.757842371
29817,Igfbp7,insulin-like growth factor binding protein 7,5,1.992319812,-0.647268011,-5.077850965,0.000182682,0.001865634,1.0262949
23964,Tenm2,teneurin transmembrane protein 2,11,1.990200024,0.036427442,-5.259782878,0.000131644,0.001497014,1.314771535
72716,2810047C21Rik1,RIKEN cDNA 2810047C21 gene 1,7,1.988549766,0.737188851,-8.096504241,1.42E-06,8.24E-05,5.669030161
194744,Slc25a43,"solute carrier family 25, member 43",X,1.986636598,-0.979417115,-5.141418623,0.000162839,0.001728772,1.137425918
19279,Ptprr,"protein tyrosine phosphatase, receptor type, R",10,1.983525462,-0.825520662,-5.607468157,7.13E-05,0.00101857,1.910656664
268859,Rbfox1,"RNA binding protein, fox-1 homolog (C. elegans) 1",16,1.979298375,-1.451610065,-4.557922061,0.000476986,0.003659981,0.141192245
100504601,Gm16702,"predicted gene, 16702",17,1.974067805,-0.985146431,-5.002612396,0.000209457,0.002038125,0.903493222
319767,Atp10b,"ATPase, class V, type 10B",11,1.970265766,-0.502123154,-5.72868898,5.78E-05,0.000893164,2.110435269
225583,A730017C20Rik,RIKEN cDNA A730017C20 gene,18,1.958061696,-0.171426067,-5.109670863,0.000172453,0.001799936,1.067698793
93690,Gpr45,G protein-coupled receptor 45,1,1.957066422,-1.151431129,-4.278923973,0.000808837,0.005313273,-0.353624855
20265,Scn1a,"sodium channel, voltage-gated, type I, alpha",2,1.955135229,1.117396611,-8.40377294,9.27E-07,6.54E-05,6.084548745
69894,2010107G23Rik,RIKEN cDNA 2010107G23 gene,10,1.954550662,-0.14296557,-6.119181103,2.98E-05,0.000575416,2.740443208
20284,Scrg1,scrapie responsive gene 1,8,1.954353807,1.696024396,-7.18300424,5.44E-06,0.000192425,4.329250229
11829,Aqp4,aquaporin 4,18,1.954347107,-0.114984711,-4.534853193,0.000498114,0.003787369,0.052047773
12552,Cdh11,cadherin 11,8,1.948062232,3.190165641,-9.435018103,2.38E-07,2.95E-05,7.311682541
18039,Nefl,"neurofilament, light polypeptide",14,1.947775761,0.451267022,-6.822068985,9.52E-06,0.000268208,3.830020469
269784,Cntn4,contactin 4,6,1.944432976,1.08370686,-8.244801237,1.16E-06,7.41E-05,5.870476031
18417,Cldn11,claudin 11,3,1.936665876,1.136183168,-7.520257328,3.28E-06,0.000138703,4.857363589
18606,Enpp2,ectonucleotide pyrophosphatase/phosphodiesterase 2,15,1.934654685,3.504144213,-9.513694618,2.15E-07,2.76E-05,7.376313172
140792,Colec12,collectin sub-family member 12,18,1.928729019,-0.205365834,-5.446836956,9.44E-05,0.001199441,1.637325971
14805,Grik1,"glutamate receptor, ionotropic, kainate 1",16,1.925012599,0.769734067,-6.549755165,1.47E-05,0.000362173,3.406152927
627626,Ptchd4,patched domain containing 4,17,1.917021044,-0.563690527,-5.665781546,6.44E-05,0.000955395,2.008786891
209743,AF529169,cDNA sequence AF529169,9,1.911922162,-1.714070711,-5.341241236,0.000113845,0.001364411,1.454950499
594844,Tceal3,transcription elongation factor A (SII)-like 3,X,1.911555181,0.635264964,-6.289094066,2.25E-05,0.000476872,2.996611861
100041979,Gm3604,predicted gene 3604,13,1.905861534,1.231965509,-8.411532826,9.17E-07,6.54E-05,6.096368104
330052,A930003O13Rik,RIKEN cDNA A930003O13 gene,5,1.903280281,0.252610444,-5.918198449,4.18E-05,0.000720136,2.409435462
14843,Gsx2,GS homeobox 2,5,1.894835067,-0.233888178,-5.977160649,3.78E-05,0.000677976,2.51360015
270028,Fam155a,"family with sequence similarity 155, member A",8,1.86685904,1.874269482,-8.898094339,4.76E-07,4.37E-05,6.72882776
227058,Dnah7b,"dynein, axonemal, heavy chain 7B",1,1.862218044,0.406727157,-6.359286098,2.00E-05,0.000441433,3.114389649
226421,5430435G22Rik,RIKEN cDNA 5430435G22 gene,1,1.861007503,0.034146392,-5.857560124,4.63E-05,0.000771183,2.316566962
66673,Sorcs3,sortilin-related VPS10 domain containing receptor 3,19,1.853068548,1.577012617,-5.226518632,0.000139725,0.001558411,1.085390042
329872,Frem1,Fras1 related extracellular matrix protein 1,4,1.847631572,0.379134626,-5.389922718,0.000104423,0.001277321,1.518046167
544848,Gm5784,predicted gene 5784,12,1.836481308,-0.80461113,-5.604542013,7.16E-05,0.001022039,1.907218664
637776,Gm7221,predicted gene 7221,7,1.824059056,-1.494700212,-5.036919047,0.000196775,0.001961686,0.958554756
17183,Matn4,matrilin 4,2,1.822790999,1.741462737,-7.257087487,4.86E-06,0.000176873,4.433435894
16913,Psmb8,"proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)",17,1.812304166,-0.213394512,-5.033845572,0.000197878,0.001964421,0.933011849
76965,Slitrk1,"SLIT and NTRK-like family, member 1",14,1.809939287,1.581385699,-6.6123756,1.33E-05,0.00033866,3.433989526
27384,Akr1c13,"aldo-keto reductase family 1, member C13",13,1.806226583,-0.919717361,-4.696688889,0.000368,0.003026112,0.364852887
100038509,Gm10544,predicted gene 10544,18,1.8058515,-1.148174673,-4.91804103,0.00024448,0.002249662,0.759980991
219228,Pcdh17,protocadherin 17,14,1.803999576,4.671197259,-11.76496651,1.60E-08,9.67E-06,9.844417185
77125,Il33,interleukin 33,19,1.802349304,-0.895652376,-4.528797429,0.000503818,0.003818499,0.078264458
383787,Ankrd63,ankyrin repeat domain 63,2,1.798328021,-1.520690834,-4.664695092,0.000390602,0.003169827,0.327420987
18073,Nid1,nidogen 1,13,1.794989047,1.099165828,-6.375099609,1.95E-05,0.000436642,3.090735139
103978,Gpc5,glypican 5,14,1.791279203,0.754633122,-5.623681747,6.93E-05,0.001000945,1.877342903
16188,Il3ra,"interleukin 3 receptor, alpha chain",14,1.789252923,-0.48724278,-5.52408666,8.24E-05,0.00110639,1.769787769
112422,2610305D13Rik,RIKEN cDNA 2610305D13 gene,4,1.786726905,2.632721445,-10.16752902,9.66E-08,1.80E-05,8.262879442
17954,Nap1l2,nucleosome assembly protein 1-like 2,X,1.78266226,2.669111822,-10.41466829,7.21E-08,1.57E-05,8.566011326
30052,Pcsk1n,proprotein convertase subtilisin/kexin type 1 inhibitor,X,1.772022641,1.013208765,-5.505160215,8.52E-05,0.001124633,1.645852079
209966,Pgbd5,piggyBac transposable element derived 5,8,1.771704472,1.002595006,-7.134419549,5.86E-06,0.000202871,4.284079907
20272,Scn7a,"sodium channel, voltage-gated, type VII, alpha",2,1.768170635,0.500320346,-5.819326582,4.94E-05,0.000804585,2.229771828
19201,Pstpip2,proline-serine-threonine phosphatase-interacting protein 2,18,1.766324514,1.625058754,-7.048001416,6.69E-06,0.000217431,4.122315598
20503,Slc16a7,"solute carrier family 16 (monocarboxylic acid transporters), member 7",10,1.761241223,0.697248453,-7.530030835,3.23E-06,0.000137526,4.873990001
18377,Omg,oligodendrocyte myelin glycoprotein,11,1.758490115,3.318526144,-9.976827627,1.21E-07,1.90E-05,7.969398376
230779,Serinc2,serine incorporator 2,4,1.757665028,1.522574552,-6.40994387,1.84E-05,0.000421401,3.110429969
14472,Gbx2,gastrulation brain homeobox 2,1,1.752460149,-0.717605382,-4.664880127,0.000390467,0.003169827,0.295762529
208111,9830147E19Rik,RIKEN cDNA 9830147E19 gene,7,1.752115044,2.806403435,-11.35358259,2.49E-08,1.06E-05,9.615051094
20510,Slc1a1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",19,1.74358618,3.073159804,-6.580663559,1.40E-05,0.000352547,3.135448298
207777,Bzrap1,benzodiazepine receptor associated protein 1,11,1.743359265,1.563129715,-6.882016562,8.67E-06,0.000253139,3.864135497
100503913,Gm19960,"predicted gene, 19960",12,1.728663918,-1.407894851,-4.537368489,0.000495764,0.003773536,0.106337394
17116,Mab21l1,mab-21-like 1 (C. elegans),3,1.720967849,2.853548872,-8.949065592,4.45E-07,4.19E-05,6.702851629
77531,Anks1b,ankyrin repeat and sterile alpha motif domain containing 1B,10,1.712225505,4.603553178,-11.37067349,2.44E-08,1.06E-05,9.411139342
229323,Gpr171,G protein-coupled receptor 171,3,1.70924138,-1.675089367,-4.559164116,0.000475875,0.003653427,0.145660714
12805,Cntn1,contactin 1,15,1.70683775,7.808313966,-9.140374359,3.47E-07,3.68E-05,6.263346527
69732,2410018L13Rik,RIKEN cDNA 2410018L13 gene,12,1.7013284,-0.260317097,-5.727491814,5.79E-05,0.000894038,2.098580457
12759,Clu,clusterin,14,1.700122568,4.041355092,-9.06914636,3.80E-07,3.80E-05,6.665193395
239857,Cadm2,cell adhesion molecule 2,16,1.692514446,3.834462556,-10.55330839,6.13E-08,1.41E-05,8.588921874
12364,Casp12,caspase 12,9,1.684125631,-1.489462267,-4.439762216,0.000595926,0.004282427,-0.070389688
93728,Pabpc5,"poly(A) binding protein, cytoplasmic 5",X,1.681365592,1.125774936,-7.016548647,7.03E-06,0.000221102,4.105490271
272790,Magee2,"melanoma antigen, family E, 2",X,1.678697649,0.580112841,-6.698285561,1.16E-05,0.000307947,3.63579219
226250,Afap1l2,actin filament associated protein 1-like 2,19,1.672368472,2.449500475,-8.326725114,1.03E-06,6.92E-05,5.893111458
433791,Gm13251,predicted gene 13251,4,1.672034747,2.756197723,-13.10693636,4.10E-09,3.89E-06,11.41375119
109901,Cela1,"chymotrypsin-like elastase family, member 1",15,1.669965061,-0.473723706,-4.498671944,0.000533216,0.003963184,-0.004941984
373852,4833422C13Rik,RIKEN cDNA 4833422C13 gene,13,1.666881746,-0.983513678,-5.021293376,0.00020245,0.001993113,0.933660755
668558,Gm9241,predicted gene 9241,12,1.666387396,0.064553682,-4.066892917,0.001214689,0.006991038,-0.856165544
252864,Dusp15,dual specificity phosphatase-like 15,2,1.658657597,1.470563332,-7.070223569,6.47E-06,0.000213516,4.158098306
13199,Ddn,dendrin,15,1.650738646,-1.234980034,-4.309696973,0.000762758,0.005125649,-0.298669135
240479,Fam69c,"family with sequence similarity 69, member C",18,1.649601619,0.578042056,-6.635295323,1.28E-05,0.000331208,3.538117893
104027,Synpo,synaptopodin,18,1.647458862,0.161387606,-5.405900285,0.000101511,0.001252472,1.54972249
78303,Hist3h2ba,"histone cluster 3, H2ba",11,1.646446547,3.622072874,-8.506342634,8.05E-07,6.00E-05,5.962894205
330627,Trim66,tripartite motif-containing 66,7,1.643060226,1.967398174,-6.333179521,2.09E-05,0.000452315,2.925768825
74032,Sdr42e1,"short chain dehydrogenase/reductase family 42E, member 1",8,1.639316463,0.522983142,-5.547944455,7.91E-05,0.001078078,1.770165645
19275,Ptprn,"protein tyrosine phosphatase, receptor type, N",1,1.634038911,1.678766072,-8.329203866,1.03E-06,6.92E-05,5.966699638
14748,Gpr3,G-protein coupled receptor 3,4,1.628156125,-0.556937468,-4.840852459,0.000281758,0.002488076,0.60676603
